s_address,s_number,s_reg_id,s_lname,s_fname,s_city,s_gender
Student_Address_1,1,32,Doe,John,Student_City_1,Male
Student_Address_4,4,38,Brown,Michael,Student_City_4,Male
Student_Address_5,5,40,Taylor,Liam,Student_City_5,Male
Student_Address_6,6,42,Miller,Noah,Student_City_6,Male
Student_Address_9,9,48,Johnson,Oliver,Student_City_9,Male
Student_Address_10,10,50,Wilson,James,Student_City_10,Male
Student_Address_11,11,52,Anderson,Benjamin,Student_City_11,Male
Student_Address_15,15,60,Wilson,Mason,Student_City_15,Male
Student_Address_17,17,64,Anderson,Lucas,Student_City_17,Male
Student_Address_19,19,68,Lee,Jackson,Student_City_19,Male
Student_Address_21,21,72,Johnson,Liam,Student_City_21,Male
Student_Address_23,23,76,Wilson,Oliver,Student_City_23,Male
Student_Address_2,2,34,Johnson,Alice,Student_City_2,Female
Student_Address_3,3,36,Davis,Eva,Student_City_3,Female
Student_Address_7,7,44,Moore,Ava,Student_City_7,Female
Student_Address_8,8,46,Davis,Emma,Student_City_8,Female
Student_Address_12,12,54,Moore,Mia,Student_City_12,Female
Student_Address_13,13,56,Davis,Sofia,Student_City_13,Female
Student_Address_14,14,58,Brown,Harper,Student_City_14,Female
Student_Address_16,16,62,Taylor,Aria,Student_City_16,Female
Student_Address_18,18,66,Moore,Evelyn,Student_City_18,Female
Student_Address_20,20,70,Davis,Grace,Student_City_20,Female
Student_Address_22,22,74,Brown,Chloe,Student_City_22,Female
Student_Address_24,24,78,Taylor,Ava,Student_City_24,Female
